date,time,stock,loaded_unloaded,warehouse_id,warehouse_name,x_length_m,y_length_m,z_height_m
2025-02-01,06:00,852,unloaded,WH001,Bawana Main,50,40,12
2025-02-01,09:00,1163,loaded,WH001,Bawana Main,50,40,12
2025-02-01,13:00,832,unloaded,WH001,Bawana Main,50,40,12
2025-02-01,17:00,1044,loaded,WH001,Bawana Main,50,40,12
2025-02-01,06:00,490,unloaded,WH002,Okhla Depot,45,35,10
2025-02-01,09:00,769,loaded,WH002,Okhla Depot,45,35,10
2025-02-01,13:00,607,unloaded,WH002,Okhla Depot,45,35,10
2025-02-01,17:00,755,loaded,WH002,Okhla Depot,45,35,10
2025-02-01,06:00,1157,unloaded,WH003,Narela Hub,60,50,15
2025-02-01,09:00,1354,loaded,WH003,Narela Hub,60,50,15
2025-02-01,13:00,1195,unloaded,WH003,Narela Hub,60,50,15
2025-02-01,17:00,1442,loaded,WH003,Narela Hub,60,50,15
2025-02-02,06:00,745,unloaded,WH001,Bawana Main,50,40,12
2025-02-02,09:00,1119,loaded,WH001,Bawana Main,50,40,12
2025-02-02,13:00,909,unloaded,WH001,Bawana Main,50,40,12
2025-02-02,17:00,1096,loaded,WH001,Bawana Main,50,40,12
2025-02-02,06:00,525,unloaded,WH002,Okhla Depot,45,35,10
2025-02-02,09:00,834,loaded,WH002,Okhla Depot,45,35,10
2025-02-02,13:00,574,unloaded,WH002,Okhla Depot,45,35,10
2025-02-02,17:00,700,loaded,WH002,Okhla Depot,45,35,10
2025-02-02,06:00,1127,unloaded,WH003,Narela Hub,60,50,15
2025-02-02,09:00,1323,loaded,WH003,Narela Hub,60,50,15
2025-02-02,13:00,1258,unloaded,WH003,Narela Hub,60,50,15
2025-02-02,17:00,1466,loaded,WH003,Narela Hub,60,50,15
2025-02-03,06:00,1013,unloaded,WH001,Bawana Main,50,40,12
2025-02-03,09:00,1231,loaded,WH001,Bawana Main,50,40,12
2025-02-03,13:00,928,unloaded,WH001,Bawana Main,50,40,12
2025-02-03,17:00,1174,loaded,WH001,Bawana Main,50,40,12
2025-02-03,06:00,555,unloaded,WH002,Okhla Depot,45,35,10
2025-02-03,09:00,863,loaded,WH002,Okhla Depot,45,35,10
2025-02-03,13:00,646,unloaded,WH002,Okhla Depot,45,35,10
2025-02-03,17:00,971,loaded,WH002,Okhla Depot,45,35,10
2025-02-03,06:00,1295,unloaded,WH003,Narela Hub,60,50,15
2025-02-03,09:00,1495,loaded,WH003,Narela Hub,60,50,15
2025-02-03,13:00,1253,unloaded,WH003,Narela Hub,60,50,15
2025-02-03,17:00,1440,loaded,WH003,Narela Hub,60,50,15
2025-02-04,06:00,784,unloaded,WH001,Bawana Main,50,40,12
2025-02-04,09:00,1215,loaded,WH001,Bawana Main,50,40,12
2025-02-04,13:00,918,unloaded,WH001,Bawana Main,50,40,12
2025-02-04,17:00,1194,loaded,WH001,Bawana Main,50,40,12
2025-02-04,06:00,514,unloaded,WH002,Okhla Depot,45,35,10
2025-02-04,09:00,853,loaded,WH002,Okhla Depot,45,35,10
2025-02-04,13:00,537,unloaded,WH002,Okhla Depot,45,35,10
2025-02-04,17:00,963,loaded,WH002,Okhla Depot,45,35,10
2025-02-04,06:00,1378,unloaded,WH003,Narela Hub,60,50,15
2025-02-04,09:00,1441,loaded,WH003,Narela Hub,60,50,15
2025-02-04,13:00,1235,unloaded,WH003,Narela Hub,60,50,15
2025-02-04,17:00,1492,loaded,WH003,Narela Hub,60,50,15
2025-02-05,06:00,988,unloaded,WH001,Bawana Main,50,40,12
2025-02-05,09:00,1227,loaded,WH001,Bawana Main,50,40,12
2025-02-05,13:00,912,unloaded,WH001,Bawana Main,50,40,12
2025-02-05,17:00,1133,loaded,WH001,Bawana Main,50,40,12
2025-02-05,06:00,655,unloaded,WH002,Okhla Depot,45,35,10
2025-02-05,09:00,887,loaded,WH002,Okhla Depot,45,35,10
2025-02-05,13:00,636,unloaded,WH002,Okhla Depot,45,35,10
2025-02-05,17:00,977,loaded,WH002,Okhla Depot,45,35,10
2025-02-05,06:00,1260,unloaded,WH003,Narela Hub,60,50,15
2025-02-05,09:00,1403,loaded,WH003,Narela Hub,60,50,15
2025-02-05,13:00,1337,unloaded,WH003,Narela Hub,60,50,15
2025-02-05,17:00,1517,loaded,WH003,Narela Hub,60,50,15
2025-02-06,06:00,1006,unloaded,WH001,Bawana Main,50,40,12
2025-02-06,09:00,1195,loaded,WH001,Bawana Main,50,40,12
2025-02-06,13:00,956,unloaded,WH001,Bawana Main,50,40,12
2025-02-06,17:00,1115,loaded,WH001,Bawana Main,50,40,12
2025-02-06,06:00,753,unloaded,WH002,Okhla Depot,45,35,10
2025-02-06,09:00,831,loaded,WH002,Okhla Depot,45,35,10
2025-02-06,13:00,627,unloaded,WH002,Okhla Depot,45,35,10
2025-02-06,17:00,950,loaded,WH002,Okhla Depot,45,35,10
2025-02-06,06:00,1254,unloaded,WH003,Narela Hub,60,50,15
2025-02-06,09:00,1484,loaded,WH003,Narela Hub,60,50,15
2025-02-06,13:00,1098,unloaded,WH003,Narela Hub,60,50,15
2025-02-06,17:00,1471,loaded,WH003,Narela Hub,60,50,15
2025-02-07,06:00,939,unloaded,WH001,Bawana Main,50,40,12
2025-02-07,09:00,1179,loaded,WH001,Bawana Main,50,40,12
2025-02-07,13:00,843,unloaded,WH001,Bawana Main,50,40,12
2025-02-07,17:00,1170,loaded,WH001,Bawana Main,50,40,12
2025-02-07,06:00,758,unloaded,WH002,Okhla Depot,45,35,10
2025-02-07,09:00,992,loaded,WH002,Okhla Depot,45,35,10
2025-02-07,13:00,619,unloaded,WH002,Okhla Depot,45,35,10
2025-02-07,17:00,859,loaded,WH002,Okhla Depot,45,35,10
2025-02-07,06:00,1147,unloaded,WH003,Narela Hub,60,50,15
2025-02-07,09:00,1499,loaded,WH003,Narela Hub,60,50,15
2025-02-07,13:00,1280,unloaded,WH003,Narela Hub,60,50,15
2025-02-07,17:00,1435,loaded,WH003,Narela Hub,60,50,15
2025-02-08,06:00,942,unloaded,WH001,Bawana Main,50,40,12
2025-02-08,09:00,1140,loaded,WH001,Bawana Main,50,40,12
2025-02-08,13:00,830,unloaded,WH001,Bawana Main,50,40,12
2025-02-08,17:00,1048,loaded,WH001,Bawana Main,50,40,12
2025-02-08,06:00,667,unloaded,WH002,Okhla Depot,45,35,10
2025-02-08,09:00,706,loaded,WH002,Okhla Depot,45,35,10
2025-02-08,13:00,491,unloaded,WH002,Okhla Depot,45,35,10
2025-02-08,17:00,830,loaded,WH002,Okhla Depot,45,35,10
2025-02-08,06:00,1166,unloaded,WH003,Narela Hub,60,50,15
2025-02-08,09:00,1493,loaded,WH003,Narela Hub,60,50,15
2025-02-08,13:00,1088,unloaded,WH003,Narela Hub,60,50,15
2025-02-08,17:00,1428,loaded,WH003,Narela Hub,60,50,15
2025-02-09,06:00,931,unloaded,WH001,Bawana Main,50,40,12
2025-02-09,09:00,1023,loaded,WH001,Bawana Main,50,40,12
2025-02-09,13:00,889,unloaded,WH001,Bawana Main,50,40,12
2025-02-09,17:00,1015,loaded,WH001,Bawana Main,50,40,12
2025-02-09,06:00,528,unloaded,WH002,Okhla Depot,45,35,10
2025-02-09,09:00,873,loaded,WH002,Okhla Depot,45,35,10
2025-02-09,13:00,433,unloaded,WH002,Okhla Depot,45,35,10
2025-02-09,17:00,724,loaded,WH002,Okhla Depot,45,35,10
2025-02-09,06:00,1215,unloaded,WH003,Narela Hub,60,50,15
2025-02-09,09:00,1350,loaded,WH003,Narela Hub,60,50,15
2025-02-09,13:00,1207,unloaded,WH003,Narela Hub,60,50,15
2025-02-09,17:00,1476,loaded,WH003,Narela Hub,60,50,15
2025-02-10,06:00,843,unloaded,WH001,Bawana Main,50,40,12
2025-02-10,09:00,1277,loaded,WH001,Bawana Main,50,40,12
2025-02-10,13:00,891,unloaded,WH001,Bawana Main,50,40,12
2025-02-10,17:00,1197,loaded,WH001,Bawana Main,50,40,12
2025-02-10,06:00,693,unloaded,WH002,Okhla Depot,45,35,10
2025-02-10,09:00,807,loaded,WH002,Okhla Depot,45,35,10
2025-02-10,13:00,752,unloaded,WH002,Okhla Depot,45,35,10
2025-02-10,17:00,879,loaded,WH002,Okhla Depot,45,35,10
2025-02-10,06:00,1208,unloaded,WH003,Narela Hub,60,50,15
2025-02-10,09:00,1514,loaded,WH003,Narela Hub,60,50,15
2025-02-10,13:00,1291,unloaded,WH003,Narela Hub,60,50,15
2025-02-10,17:00,1546,loaded,WH003,Narela Hub,60,50,15
